extension	path_count	distinct_sha256	logical_bytes
txt	277390	202416	4877670435
jpg	91277	43675	33075206408
webarchive	43087	29017	98845489725
png	32335	13529	6319277875
xml	17813	15556	282824017
mp4	4668	2828	103967253907
pdf	3928	2613	2330807900
gz	1747	1654	47853329
vp6	1323	1276	42365640100
mac	824	652	949207767
gif	823	371	185533973
tif	631	411	208824559
cur	581	581	353182720
zip	550	413	7660451887
html	474	426	12830645
c	420	312	9768370
tar	294	294	12143432704
dll	152	100	131920384
class	140	91	1298400768
docx	140	72	9318035
(none)	131	52	170257681
aif	107	107	45273088
ttf	88	47	5323911168
smc	78	78	12572938
eml	69	69	1620225
im4m	67	61	220162
ico	51	32	11180032
bz2	51	17	686623232
xlsx	48	24	827114
doc	48	20	3942912
efi	45	17	2608312
mp3	41	36	2536645344
plist	38	34	58872
bin	35	35	18660780
otf	33	31	1773332
m4a	33	26	96739093
json	27	27	491591
epm	26	26	993899
sit	20	20	1358949888
sgi	20	17	11344384
fd	18	18	159383552
dcm	17	7	301804544
scap	16	16	136128256
efires	15	12	11263406
gdi	13	13	793777152
wav	13	12	3493616
vdi	12	12	1235828736
exe	12	9	875520
security	10	4	2307584
cpio	9	9	456167424
bmp	9	2	496446
apk	8	5	54953009
rtf	7	6	3755734
icm	6	6	48542208
au	6	6	1781760
mov	6	6	9387520
cr2	5	5	89604
core	5	2	5072384
configuration	5	2	614400
transactions	5	2	171520
numerics	5	2	578048
cat	5	5	16751
enterpriseservices	5	2	232960
ape	5	5	24933888
posix	5	2	1062400
http	5	2	578560
data	5	2	10224640
internals	4	1	858112
contentdetails	4	3	58
disk_label_2x	4	3	13844
drawing	4	1	1705984
lib	4	4	196608
linq	4	1	479232
serialization	4	1	3725312
tds	4	1	401408
updates	3	2	10
tartdate=07_01_2018&enddate=10_25_2018	3	1	301077
tlb	3	3	23552
dmg	3	3	6028266306
tartdate=11_01_2018&enddate=01_21_2019	3	1	291096
shadow	3	3	5312
scd	3	3	108029952
disk_label	3	3	2583
pptx	3	2	9895740
indexcompactdirectory	2	1	2048
indexbigdates	2	1	32768
indexarrays	2	1	131072
ipa	2	2	1287336
indexpostings	2	1	8192
indexpositiontable	2	1	16384
log	2	1	4569310
indexpositions	2	1	8192
indexids	2	1	65536
indexhead	2	2	8192
indexgroups	2	1	6554
indexdirectory	2	1	16448
dwg	2	2	3049984
dng	2	2	3804
dmp	2	2	1716224
xz	2	2	4947309
shadowindexarrays	2	1	131072
shadowindexcompactdirectory	2	2	16
shadowindexdirectory	2	2	4112
shadowindexgroups	2	2	2
shadowindexhead	2	1	8192
shadowindexpositiontable	2	1	0
shadowindextermids	2	1	0
directorystorefile	2	1	131072
db	2	1	237568
018	2	2	524288
created	2	1	0
chunklist	2	2	2276
choicechanges	2	1	752
indexupdates	2	1	0
indextermids	2	1	16384
install	1	1	24064
ini	1	1	4042
22	1	1	208768
cab	1	1	0
applicationservices	1	1	33792
shg	1	1	1225216
ain	1	1	15436288
web	1	1	3030016
snowleopard	1	1	0
soap	1	1	38912
sproduct	1	1	2252
sqlite	1	1	166912
state	1	1	4096
dataannotations	1	1	84992
iaproductinfo	1	1	361
lzh	1	1	455680
donotpresent	1	1	0
pkg	1	1	304416
ps	1	1	88666
remoting	1	1	119808
rom	1	1	114688
root_uuid	1	1	36
lion	1	1	0
3gp	1	1	772779
pal	1	1	1503668736
numbers	1	1	114460
west	1	1	72192
serviceprocess	1	1	47104
services	1	1	216064
modified	1	1	0
management	1	1	49152
1	1	1	51
cjk	1	1	680448
